CD_GEOCMU;NM_MUNICIP;BIOMA
5200050;ABADIA DE GOIÁS;Cerrado
3100104;ABADIA DOS DOURADOS;Cerrado
5200100;ABADIÂNIA;Cerrado
1500107;ABAETETUBA;Amazônia
3100203;ABAETÉ;Cerrado
2300101;ABAIARA;Caatinga
2900108;ABAÍRA;Caatinga
2900207;ABARÉ;Caatinga
4100103;ABATIÁ;Mata Atlântica
4200051;ABDON BATISTA;Mata Atlântica
1500131;ABEL FIGUEIREDO;Amazônia
4200101;ABELARDO LUZ;Mata Atlântica
3100302;ABRE CAMPO;Mata Atlântica
2600054;ABREU E LIMA;Mata Atlântica
1700251;ABREULÂNDIA;Cerrado
3100401;ACAIACA;Mata Atlântica
2100055;AÇAILÂNDIA;Amazônia
2900306;ACAJUTIBA;Caatinga
2900306;ACAJUTIBA;Mata Atlântica
2300150;ACARAPE;Caatinga
2300200;ACARAÚ;Caatinga
1500206;ACARÁ;Amazônia
2400109;ACARI;Caatinga
2200053;ACAUÃ;Caatinga
4300034;ACEGUÁ;Pampa
2300309;ACOPIARA;Caatinga
5100102;ACORIZAL;Cerrado
1200013;ACRELÂNDIA;Amazônia
5200134;ACREÚNA;Cerrado
2400208;AÇU;Caatinga
3100500;AÇUCENA;Mata Atlântica
3500105;ADAMANTINA;Mata Atlântica
5200159;ADELÂNDIA;Cerrado
3500204;ADOLFO;Mata Atlântica
4100202;ADRIANÓPOLIS;Mata Atlântica
2900355;ADUSTINA;Caatinga
2600104;AFOGADOS DA INGAZEIRA;Caatinga
2400307;AFONSO BEZERRA;Caatinga
3200102;AFONSO CLÁUDIO;Mata Atlântica
2100105;AFONSO CUNHA;Cerrado
2600203;AFRÂNIO;Caatinga
1500305;AFUÁ;Amazônia
2600302;AGRESTINA;Caatinga
2600302;AGRESTINA;Mata Atlântica
2200103;AGRICOLÂNDIA;Cerrado
4200200;AGROLÂNDIA;Mata Atlântica
4200309;AGRONÔMICA;Mata Atlântica
1500347;ÁGUA AZUL DO NORTE;Amazônia
5100201;ÁGUA BOA;Amazônia
5100201;ÁGUA BOA;Cerrado
3100609;ÁGUA BOA;Cerrado
3100609;ÁGUA BOA;Mata Atlântica
2500106;ÁGUA BRANCA;Caatinga
2200202;ÁGUA BRANCA;Cerrado
2700102;ÁGUA BRANCA;Caatinga
5000203;ÁGUA CLARA;Cerrado
3100708;ÁGUA COMPRIDA;Cerrado
3100708;ÁGUA COMPRIDA;Mata Atlântica
4200408;ÁGUA DOCE;Mata Atlântica
2100154;ÁGUA DOCE DO MARANHÃO;Cerrado
3200169;ÁGUA DOCE DO NORTE;Mata Atlântica
2900405;ÁGUA FRIA;Caatinga
2900405;ÁGUA FRIA;Mata Atlântica
5200175;ÁGUA FRIA DE GOIÁS;Cerrado
5200209;ÁGUA LIMPA;Cerrado
5200209;ÁGUA LIMPA;Mata Atlântica
2400406;ÁGUA NOVA;Caatinga
2600401;ÁGUA PRETA;Mata Atlântica
4300059;ÁGUA SANTA;Mata Atlântica
4300059;ÁGUA SANTA;Pampa
3500303;AGUAÍ;Cerrado
3500303;AGUAÍ;Mata Atlântica
3100807;AGUANIL;Cerrado
3100807;AGUANIL;Mata Atlântica
2600500;ÁGUAS BELAS;Caatinga
3500402;ÁGUAS DA PRATA;Mata Atlântica
4200507;ÁGUAS DE CHAPECÓ;Mata Atlântica
3500501;ÁGUAS DE LINDÓIA;Mata Atlântica
3500550;ÁGUAS DE SANTA BÁRBARA;Cerrado
3500550;ÁGUAS DE SANTA BÁRBARA;Mata Atlântica
3500600;ÁGUAS DE SÃO PEDRO;Cerrado
3500600;ÁGUAS DE SÃO PEDRO;Mata Atlântica
3100906;ÁGUAS FORMOSAS;Mata Atlântica
4200556;ÁGUAS FRIAS;Mata Atlântica
5200258;ÁGUAS LINDAS DE GOIÁS;Cerrado
4200606;ÁGUAS MORNAS;Mata Atlântica
3101003;ÁGUAS VERMELHAS;Mata Atlântica
4300109;AGUDO;Mata Atlântica
3500709;AGUDOS;Cerrado
3500709;AGUDOS;Mata Atlântica
4100301;AGUDOS DO SUL;Mata Atlântica
3200136;ÁGUIA BRANCA;Mata Atlântica
2500205;AGUIAR;Caatinga
1700301;AGUIARNÓPOLIS;Cerrado
3101102;AIMORÉS;Mata Atlântica
2900603;AIQUARA;Mata Atlântica
2300408;AIUABA;Caatinga
3101201;AIURUOCA;Mata Atlântica
4300208;AJURICABA;Mata Atlântica
4300208;AJURICABA;Pampa
3101300;ALAGOA;Mata Atlântica
2500304;ALAGOA GRANDE;Caatinga
2500403;ALAGOA NOVA;Caatinga
2600609;ALAGOINHA;Caatinga
2500502;ALAGOINHA;Caatinga
2200251;ALAGOINHA DO PIAUÍ;Caatinga
2900702;ALAGOINHAS;Mata Atlântica
3500758;ALAMBARI;Cerrado
3500758;ALAMBARI;Mata Atlântica
3101409;ALBERTINA;Mata Atlântica
2100204;ALCÂNTARA;Amazônia
2300507;ALCÂNTARAS;Caatinga
2500536;ALCANTIL;Caatinga
5000252;ALCINÓPOLIS;Cerrado
2900801;ALCOBAÇA;Mata Atlântica
2100303;ALDEIAS ALTAS;Cerrado
4300307;ALECRIM;Mata Atlântica
3200201;ALEGRE;Mata Atlântica
4300406;ALEGRETE;Pampa
2200277;ALEGRETE DO PIAUÍ;Caatinga
4300455;ALEGRIA;Mata Atlântica
4300455;ALEGRIA;Pampa
3101508;ALÉM PARAÍBA;Mata Atlântica
1500404;ALENQUER;Amazônia
2400505;ALEXANDRIA;Caatinga
5200308;ALEXÂNIA;Cerrado
3101607;ALFENAS;Cerrado
3101607;ALFENAS;Mata Atlântica
3200300;ALFREDO CHAVES;Mata Atlântica
3500808;ALFREDO MARCONDES;Mata Atlântica
3101631;ALFREDO VASCONCELOS;Mata Atlântica
4200705;ALFREDO WAGNER;Mata Atlântica
2500577;ALGODÃO DE JANDAÍRA;Caatinga
2500601;ALHANDRA;Mata Atlântica
2600708;ALIANÇA;Mata Atlântica
1700350;ALIANÇA DO TOCANTINS;Cerrado
2900900;ALMADINA;Mata Atlântica
1700400;ALMAS;Cerrado
1500503;ALMEIRIM;Amazônia
3101706;ALMENARA;Mata Atlântica
2400604;ALMINO AFONSO;Caatinga
4100400;ALMIRANTE TAMANDARÉ;Mata Atlântica
4300471;ALMIRANTE TAMANDARÉ DO SUL;Mata Atlântica
4300471;ALMIRANTE TAMANDARÉ DO SUL;Pampa
5200506;ALOÂNDIA;Cerrado
3101805;ALPERCATA;Mata Atlântica
4300505;ALPESTRE;Mata Atlântica
3101904;ALPINÓPOLIS;Cerrado
3101904;ALPINÓPOLIS;Mata Atlântica
5100250;ALTA FLORESTA;Amazônia
1100015;ALTA FLORESTA D'OESTE;Amazônia
3500907;ALTAIR;Cerrado
3500907;ALTAIR;Mata Atlântica
1500602;ALTAMIRA;Amazônia
