"NR_CANDIDATO","SG_PARTIDO","GENERO","COR_RACA","Ano"
54267,"PPL","FEMININO","PRETA","2016"
90321,"PROS","FEMININO","PRETA","2016"
51413,"PATRIOTA","FEMININO","PRETA","2016"
23044,"PPS","FEMININO","BRANCA","2016"
45125,"PSDB","FEMININO","PARDA","2016"
22456,"PR","FEMININO","PRETA","2016"
50009,"PSOL","FEMININO","PRETA","2016"
50012,"PSOL","FEMININO","PARDA","2016"
50596,"PSOL","FEMININO","PRETA","2016"
11120,"PP","FEMININO","PARDA","2016"
23223,"PPS","FEMININO","BRANCA","2016"
51551,"PATRIOTA","FEMININO","BRANCA","2016"
36125,"PTC","FEMININO","BRANCA","2016"
77555,"SD","FEMININO","PARDA","2016"
77067,"SD","FEMININO","PRETA","2016"
13800,"PT","FEMININO","PRETA","2016"
70777,"PT do B","FEMININO","PARDA","2016"
36039,"PTC","FEMININO","PARDA","2016"
12018,"PDT","FEMININO","PARDA","2016"
77710,"SD","FEMININO","BRANCA","2016"
15125,"PMDB","FEMININO","BRANCA","2016"
17100,"PSL","FEMININO","PRETA","2016"
11445,"PP","FEMININO","PRETA","2016"
77005,"SD","FEMININO","BRANCA","2016"
19672,"PTN","FEMININO","BRANCA","2016"
51500,"PATRIOTA","FEMININO","PARDA","2016"
19276,"PTN","FEMININO","PARDA","2016"
20444,"PSC","FEMININO","BRANCA","2016"
15223,"PMDB","FEMININO","BRANCA","2016"
17222,"PSL","FEMININO","PARDA","2016"
20700,"PSC","FEMININO","BRANCA","2016"
44555,"PRP","FEMININO","PARDA","2016"
40558,"PSB","FEMININO","PARDA","2016"
90888,"PROS","FEMININO","PARDA","2016"
33999,"PMN","FEMININO","PARDA","2016"
15222,"PMDB","FEMININO","PRETA","2016"
19054,"PTN","FEMININO","PARDA","2016"
23444,"PPS","FEMININO","PRETA","2016"
31171,"PHS","FEMININO","PRETA","2016"
36208,"PTC","FEMININO","PRETA","2016"
50158,"PSOL","FEMININO","PRETA","2016"
45220,"PSDB","FEMININO","PARDA","2016"
45357,"PSDB","FEMININO","PRETA","2016"
77412,"SD","FEMININO","PRETA","2016"
28345,"PRTB","FEMININO","PARDA","2016"
45151,"PSDB","FEMININO","PARDA","2016"
25725,"DEM","FEMININO","PRETA","2016"
40810,"PSB","FEMININO","PARDA","2016"
13021,"PT","FEMININO","PARDA","2016"
19830,"PTN","FEMININO","PARDA","2016"
10188,"PRB","FEMININO","PRETA","2016"
54321,"PPL","FEMININO","PRETA","2016"
51053,"PATRIOTA","FEMININO","PARDA","2016"
23555,"PPS","FEMININO","PARDA","2016"
51170,"PATRIOTA","FEMININO","PRETA","2016"
25201,"DEM","FEMININO","PARDA","2016"
13133,"PT","FEMININO","BRANCA","2016"
54888,"PPL","FEMININO","PRETA","2016"
65122,"PC do B","FEMININO","PARDA","2016"
36254,"PTC","FEMININO","PARDA","2016"
31330,"PHS","FEMININO","PRETA","2016"
51055,"PATRIOTA","FEMININO","PARDA","2016"
51277,"PATRIOTA","FEMININO","PARDA","2016"
36521,"PTC","FEMININO","PARDA","2016"
31009,"PHS","FEMININO","PRETA","2016"
12027,"PDT","FEMININO","PARDA","2016"
10000,"PRB","FEMININO","BRANCA","2016"
31003,"PHS","FEMININO","PRETA","2016"
28060,"PRTB","FEMININO","PARDA","2016"
11222,"PP","FEMININO","PRETA","2016"
77009,"SD","FEMININO","PARDA","2016"
44963,"PRP","FEMININO","PRETA","2016"
44001,"PRP","FEMININO","PARDA","2016"
90000,"PROS","FEMININO","PRETA","2016"
77022,"SD","FEMININO","PARDA","2016"
28567,"PRTB","FEMININO","PARDA","2016"
55888,"PSD","FEMININO","PARDA","2016"
44777,"PRP","FEMININO","PRETA","2016"
44888,"PRP","FEMININO","PARDA","2016"
40455,"PSB","FEMININO","PARDA","2016"
11213,"PP","FEMININO","PARDA","2016"
50071,"PSOL","FEMININO","PARDA","2016"
36001,"PTC","FEMININO","PARDA","2016"
31727,"PHS","FEMININO","PARDA","2016"
45006,"PSDB","FEMININO","PARDA","2016"
35300,"PMB","FEMININO","BRANCA","2016"
31400,"PHS","FEMININO","PRETA","2016"
90456,"PROS","FEMININO","PARDA","2016"
43434,"PV","FEMININO","PRETA","2016"
33789,"PMN","FEMININO","PRETA","2016"
40041,"PSB","FEMININO","PRETA","2016"
55999,"PSD","FEMININO","BRANCA","2016"
31101,"PHS","FEMININO","PARDA","2016"
10011,"PRB","FEMININO","BRANCA","2016"
20139,"PSC","FEMININO","BRANCA","2016"
90900,"PROS","FEMININO","PARDA","2016"
13141,"PT","FEMININO","PRETA","2016"
36029,"PTC","FEMININO","PARDA","2016"
45023,"PSDB","FEMININO","PARDA","2016"
19062,"PTN","FEMININO","PARDA","2016"
40008,"PSB","FEMININO","BRANCA","2016"
22500,"PR","FEMININO","PRETA","2016"
51011,"PATRIOTA","FEMININO","PARDA","2016"
55123,"PSD","FEMININO","PARDA","2016"
36030,"PTC","FEMININO","PARDA","2016"
12167,"PDT","FEMININO","PARDA","2016"
45003,"PSDB","FEMININO","PRETA","2016"
15026,"PMDB","FEMININO","PRETA","2016"
51224,"PATRIOTA","FEMININO","PARDA","2016"
23707,"PPS","FEMININO","PARDA","2016"
15027,"PMDB","FEMININO","PARDA","2016"
77377,"SD","FEMININO","PARDA","2016"
23077,"PPS","FEMININO","BRANCA","2016"
33125,"PMN","FEMININO","PRETA","2016"
54100,"PPL","FEMININO","PRETA","2016"
13113,"PT","FEMININO","BRANCA","2016"
31222,"PHS","FEMININO","PARDA","2016"
18777,"REDE","FEMININO","PARDA","2016"
19300,"PTN","FEMININO","PARDA","2016"
40789,"PSB","FEMININO","PRETA","2016"
10222,"PRB","FEMININO","PARDA","2016"
25174,"DEM","FEMININO","PRETA","2016"
22560,"PR","FEMININO","PRETA","2016"
20201,"PSC","FEMININO","PRETA","2016"
19900,"PTN","FEMININO","PRETA","2016"
25133,"DEM","FEMININO","PARDA","2016"
15161,"PMDB","FEMININO","PRETA","2016"
15250,"PMDB","FEMININO","PARDA","2016"
31471,"PHS","FEMININO","PARDA","2016"
20789,"PSC","FEMININO","PRETA","2016"
15015,"PMDB","FEMININO","PARDA","2016"
43003,"PV","FEMININO","PARDA","2016"
12312,"PDT","FEMININO","PARDA","2016"
50077,"PSOL","FEMININO","PRETA","2016"
19187,"PTN","FEMININO","PRETA","2016"
44325,"PRP","FEMININO","PARDA","2016"
40227,"PSB","FEMININO","PARDA","2016"
19089,"PTN","FEMININO","BRANCA","2016"
50266,"PSOL","FEMININO","PRETA","2016"
40345,"PSB","FEMININO","PARDA","2016"
33036,"PMN","FEMININO","PARDA","2016"
20677,"PSC","FEMININO","PARDA","2016"
14007,"PTB","FEMININO","PARDA","2016"
36885,"PTC","FEMININO","PARDA","2016"
45016,"PSDB","FEMININO","PARDA","2016"
50420,"PSOL","FEMININO","PRETA","2016"
77240,"SD","FEMININO","PRETA","2016"
15137,"PMDB","FEMININO","PARDA","2016"
25199,"DEM","FEMININO","BRANCA","2016"
10200,"PRB","FEMININO","PRETA","2016"
20555,"PSC","FEMININO","PRETA","2016"
25321,"DEM","FEMININO","PARDA","2016"
14000,"PTB","FEMININO","BRANCA","2016"
23773,"PPS","FEMININO","PRETA","2016"
25025,"DEM","FEMININO","PRETA","2016"
17190,"PSL","FEMININO","PRETA","2016"
77156,"SD","FEMININO","PRETA","2016"
15480,"PMDB","FEMININO","PRETA","2016"
20672,"PSC","FEMININO","PARDA","2016"
15022,"PMDB","FEMININO","PARDA","2016"
77050,"SD","FEMININO","AMARELA","2016"
14111,"PTB","FEMININO","BRANCA","2016"
36990,"PTC","FEMININO","PARDA","2016"
